#{"t_start": 1706986833.9231775, "env_id": "CustomHopper-source-v0"}
r,l,t
7.617143,14,0.010753
6.489036,10,0.014822
16.193065,19,0.024134
8.405898,13,0.030029
7.701662,14,0.035785
6.184794,10,0.039974
45.192009,36,0.05468
24.699864,36,0.069513
17.328766,18,0.076896
4.481496,10,0.081649
9.433042,21,0.09011
13.321793,29,0.101904
5.01231,9,0.107189
22.240397,22,0.116032
23.769962,37,0.130725
11.192663,13,0.138033
13.778082,18,0.145304
8.827887,14,0.150796
11.114559,14,0.156604
10.457791,13,0.161949
10.200096,12,0.166646
7.317292,14,0.172363
10.226502,14,0.178007
21.575561,21,0.18641
7.483006,10,0.190286
9.749144,12,0.195012
14.086874,14,0.200651
4.357084,10,0.20477
10.056499,20,0.214342
8.949206,16,0.22092
9.321296,13,0.226109
14.56684,16,0.232507
15.636784,31,0.246987
2.812899,17,0.253987
29.378881,26,0.264812
16.463631,18,0.272056
14.494472,15,0.278019
32.859922,28,0.289171
54.332974,31,0.301572
16.242673,21,0.311602
20.603363,18,0.31879
16.419434,29,0.330395
11.204858,22,0.341213
50.386579,36,0.355765
7.330433,11,0.360376
6.556683,26,0.370753
13.33278,16,0.377095
26.769735,23,0.386164
8.302897,12,0.390905
21.127609,22,0.399567
11.829192,21,0.408049
8.058087,11,0.414103
6.064797,15,0.420026
9.97587,13,0.425387
21.223282,34,0.440724
10.954913,15,0.446817
5.465641,11,0.451437
79.950275,45,0.469484
4.706696,11,0.474032
12.577622,14,0.479595
5.783981,9,0.483267
11.266523,18,0.490467
13.746007,32,0.503058
33.522674,26,0.514864
7.344428,11,0.519261
10.764947,13,0.524533
5.013873,15,0.530545
52.807828,40,0.548304
7.458214,12,0.553155
7.826904,12,0.558009
11.831326,14,0.563675
13.910675,26,0.574789
28.643619,24,0.586128
7.780682,11,0.590765
15.644842,16,0.597382
48.793758,31,0.610064
9.493755,14,0.61718
5.372824,9,0.620697
8.93943,17,0.627615
5.400722,11,0.631965
13.160633,15,0.638077
12.185334,21,0.648731
7.378851,10,0.652897
7.285102,16,0.659314
46.614399,31,0.671681
7.348262,10,0.675663
14.178857,18,0.682871
94.910142,56,0.705407
11.46489,13,0.710686
14.001212,28,0.723411
7.873438,10,0.727572
16.292409,22,0.736303
5.716334,9,0.739862
6.022016,29,0.753571
10.736148,21,0.762242
9.1745,12,0.767116
3.729939,7,0.769977
8.408572,16,0.776334
4.872881,12,0.78117
39.191642,39,0.796644
7.670266,10,0.800757
5.240133,8,0.803912
9.216196,29,0.815502
8.412051,10,0.821101
9.560338,28,0.8323
7.621388,13,0.837533
4.723979,10,0.841531
8.158185,17,0.850466
6.371653,18,0.858062
9.210769,12,0.862994
10.484022,17,1.481343
42.9441,36,1.496318
5.966887,10,1.500626
14.126659,15,1.506997
9.469347,25,1.517155
13.323865,16,1.52383
102.03392,61,1.55028
16.633968,20,1.560352
70.890532,40,1.576834
15.023652,19,1.584654
46.634948,34,1.598605
5.876304,12,1.603552
115.104363,63,1.628877
11.134204,13,1.635661
9.388455,12,1.640417
19.127171,26,1.651139
16.732069,20,1.660952
16.411463,32,1.674464
39.02414,29,1.686131
74.582918,45,1.704205
27.768767,26,1.714769
18.554725,26,1.725384
8.312117,13,1.730645
8.809917,11,1.736428
15.511159,16,1.742813
27.872892,27,1.753789
7.233511,10,1.757786
13.31409,15,1.765847
81.35575,55,1.788006
14.941541,24,1.797894
3.528107,9,1.801635
28.96873,29,1.813359
11.683514,14,1.819027
24.958434,35,1.833174
13.213602,25,1.844664
15.666472,18,1.852057
33.81086,38,1.86939
7.959887,11,1.873948
7.205941,12,1.878949
67.945896,38,1.894348
8.413696,10,1.898505
9.176589,11,1.902984
8.229258,23,1.912255
14.189754,15,1.918441
76.765006,48,1.939035
10.219249,15,1.944995
5.418338,13,1.950427
6.798875,11,1.95478
8.027631,20,1.963333
6.923341,25,1.975136
19.081297,25,1.985433
11.870893,14,1.991061
8.482224,11,1.995514
18.42081,24,2.005388
9.382188,17,2.012279
84.540744,65,2.039527
8.875679,22,2.048194
13.547077,25,2.058326
22.858304,29,2.072108
11.942458,14,2.078466
23.403143,35,2.092893
31.530548,27,2.10396
15.990932,15,2.110059
23.632576,24,2.119704
9.463376,16,2.126296
151.875976,81,2.159737
49.72111,38,2.174919
21.124819,24,2.184752
10.375731,31,2.197422
20.351317,21,2.205803
13.882479,24,2.215562
7.281762,10,2.219586
7.928977,11,2.223968
9.253485,11,2.22833
141.028238,71,2.258481
5.735414,12,2.263418
9.692965,13,2.268757
8.392793,16,2.275332
26.302369,26,2.286051
11.781387,18,2.293458
7.284127,10,2.297644
97.326578,57,2.320045
29.203675,25,2.330034
44.055772,32,2.926975
80.196089,45,2.944149
107.697957,69,2.972166
97.436755,55,2.992832
37.925329,38,3.007465
86.567018,49,3.026019
68.388722,38,3.040369
12.971502,29,3.051553
104.119469,55,3.073842
12.175718,19,3.081199
25.743649,51,3.100919
61.262208,36,3.114606
14.764428,43,3.130991
45.502135,41,3.146412
89.937744,75,3.175783
16.135645,28,3.186528
5.454436,12,3.191248
4.049158,8,3.194371
25.549638,24,3.203407
103.310721,84,3.234946
57.621538,43,3.250944
6.316396,13,3.257509
26.101268,26,3.267426
8.609142,30,3.278696
67.297837,39,3.293507
15.703895,34,3.306592
53.817839,31,3.318388
32.107753,27,3.328543
98.832081,62,3.351726
43.836677,31,3.36501
92.527456,58,3.38689
11.043084,12,3.391508
27.168105,26,3.401606
10.412625,17,3.408055
17.595702,22,3.416455
81.327627,43,3.432492
8.311871,20,3.440132
26.045498,25,3.449696
78.491259,44,3.467545
26.04576,28,3.478302
7.636696,12,3.482851
55.700976,32,3.494817
8.417083,11,3.499054
6.8241,33,3.511587
12.693518,13,3.516608
16.46528,21,3.524582
102.123286,54,3.544402
20.877376,27,3.554581
9.998282,12,3.559026
18.327696,20,3.568203
85.272019,46,3.585234
5.571392,20,3.592964
10.491503,15,3.598721
31.811737,36,3.612518
6.11617,20,3.620277
11.196182,15,3.62592
15.4554,22,3.634248
9.726677,18,3.640988
5.960939,9,3.644378
169.847757,80,3.675708
87.449115,50,3.694479
18.055287,18,3.701411
102.316079,58,4.287738
85.295202,51,4.307481
33.97726,30,4.319172
209.492587,109,4.360205
7.594767,10,4.364161
138.763507,66,4.390387
21.059057,26,4.400387
6.868233,28,4.411316
32.602264,47,4.429292
64.693978,41,4.444772
145.868074,82,4.477415
102.672557,57,4.498361
172.391272,80,4.528206
38.547128,32,4.540346
257.946175,130,4.591003
16.633366,17,4.597509
67.478788,46,4.614875
18.680922,19,4.62227
19.028322,43,4.638454
83.854869,52,4.658037
118.235528,61,4.682357
128.98114,66,4.706906
133.699523,66,4.731419
68.507663,39,4.746007
55.516015,32,4.758006
86.791404,85,4.791141
115.878424,58,4.812726
72.812843,46,4.830283
98.009859,56,4.851664
32.525484,27,4.861909
100.557623,53,4.883288
24.299888,25,4.892758
107.336083,55,4.913168
13.74248,13,4.918268
7.650717,21,4.926297
6.585747,9,4.929757
26.088799,31,4.941571
98.114054,56,4.962341
32.932622,25,4.971812
24.545197,21,4.979754
85.177729,47,4.998914
155.765593,81,5.028695
71.084137,41,5.0441
184.045432,103,5.649509
81.886798,45,5.666442
183.92241,84,5.699747
92.727926,51,5.718943
110.625186,57,5.740148
203.391308,108,5.780367
184.315719,81,5.812365
92.421266,50,5.831747
192.492116,84,5.865212
59.413508,35,5.878698
116.698248,64,5.90474
54.912811,32,5.916806
64.078706,38,5.931434
144.343509,69,5.957392
26.264481,21,5.965412
66.626322,39,5.980104
27.114741,31,5.991919
141.463091,69,6.019242
133.113662,84,6.050508
64.443617,36,6.063953
17.719319,16,6.070071
65.605841,38,6.084678
179.03607,81,6.116289
13.162252,33,6.128907
10.640992,15,6.134778
63.57514,36,6.14827
11.091942,12,6.15284
102.277044,52,6.172276
72.517639,41,6.187802
174.851385,97,6.225281
109.515365,59,6.247195
187.22119,113,6.289326
112.616878,73,6.317993
67.587841,39,6.332785
221.060793,97,6.369321
50.503758,29,6.380289
151.703143,71,7.057289
186.461534,84,7.099323
22.549829,29,7.113927
72.901935,41,7.135988
88.771298,48,7.158869
125.346009,63,7.188257
115.971433,61,7.217705
63.805336,36,7.236328
208.451465,92,7.277364
183.931701,86,7.315089
190.43974,88,7.354218
83.084948,45,7.373065
201.310081,95,7.412761
72.295895,41,7.429388
201.643367,96,7.470535
36.074219,29,7.48278
157.081,76,7.513283
97.965598,54,7.537066
121.865012,64,7.562425
66.659648,40,7.578729
70.328286,39,7.594555
98.687794,52,7.615564
208.823207,90,7.652884
201.753981,94,7.689364
203.403938,88,7.724628
52.033802,31,7.738373
85.532425,48,7.756666
207.104459,87,7.789561
71.977197,41,7.804985
136.423357,65,7.829824
71.970872,42,7.847488
203.258447,87,7.881144
56.752823,33,7.894001
135.63415,64,8.601984
210.628084,103,8.655962
244.901114,117,8.712666
231.818332,98,8.760627
130.062671,69,8.792435
100.783761,55,8.816823
175.403007,79,8.851575
120.22382,61,8.87994
213.850314,100,8.921609
202.864945,100,8.964733
208.327948,93,9.002944
218.461005,98,9.04295
164.146809,78,9.076406
64.694233,38,9.091805
83.527964,45,9.109871
203.669859,92,9.146897
186.223545,82,9.180743
200.332241,88,9.215211
166.946031,79,9.246163
152.012512,72,9.276305
97.8115,52,9.296987
44.498278,28,9.308336
208.539064,92,9.343936
37.059747,27,9.354656
90.808841,50,9.375089
116.926741,60,9.398062
62.482975,36,9.411973
156.658794,74,9.440284
64.633699,37,9.454873
83.472901,45,10.150875
117.183114,62,10.184415
207.111863,92,10.229905
49.981658,29,10.243768
201.180795,87,10.285989
197.954488,91,10.327166
203.356739,95,10.369158
207.445064,90,10.409541
84.830634,46,10.429374
208.855942,89,10.466564
211.028245,91,10.506341
243.403958,111,10.550863
172.736808,77,10.581941
193.871998,88,10.618036
97.293531,52,10.637878
194.505016,87,10.672607
210.440522,93,10.710558
138.640546,71,10.738329
212.449733,95,10.776067
206.487206,92,10.812077
223.048261,103,10.851329
198.311048,90,10.886195
230.170331,107,10.928616
205.050615,89,10.962575
76.620516,42,10.978763
182.096399,85,11.70294
199.805444,89,11.752522
99.484944,53,11.778659
231.172696,103,11.83005
185.274505,86,11.87131
185.212034,89,11.911613
216.503836,91,11.955256
206.892365,89,11.993375
85.607272,45,12.011972
199.776903,91,12.053229
194.997634,88,12.08907
241.327822,114,12.136257
117.349787,61,12.162337
223.656925,99,12.202368
185.212665,94,12.242101
199.101381,89,12.278588
167.451362,81,12.310282
230.07928,105,12.354874
196.313152,86,12.387837
191.423126,84,12.420071
224.736395,98,12.461445
179.786642,81,12.492505
199.597033,97,12.53098
214.238256,95,12.57015
195.865902,98,13.301935
206.198537,91,13.349129
201.050328,90,13.392039
205.345329,90,13.43374
225.287964,100,13.480236
206.046902,89,13.518911
187.725307,87,13.557069
215.784298,95,13.597388
204.140221,88,13.633768
79.447323,55,13.658495
93.833281,50,13.678905
195.958482,88,13.714241
211.425555,90,13.752693
231.807532,102,13.79311
193.006769,90,13.829458
213.249554,94,13.869465
217.924477,95,13.907898
251.460373,105,13.949766
95.127826,53,13.972333
207.308524,90,14.007097
184.725858,82,14.039464
88.452641,54,14.062238
95.017005,49,14.08161
180.41105,83,14.114537
196.879773,87,14.837796
213.463161,91,14.886141
214.267543,94,14.931035
206.614189,96,14.977343
196.937583,88,15.016715
247.423335,108,15.064201
195.682155,86,15.103274
126.58909,63,15.129864
202.558952,87,15.166126
208.270084,93,15.206269
183.798379,86,15.241017
224.953917,95,15.281076
221.728511,92,15.318147
206.651227,88,15.35315
208.792729,89,15.389864
107.309875,56,15.411753
83.113943,44,15.428759
209.688909,91,15.46483
230.596704,99,15.505616
212.353605,98,15.5437
210.205015,88,15.577967
118.022725,60,15.602315
157.896881,72,15.629664
234.860276,100,15.66809
202.693584,87,16.407783
190.168552,84,16.452887
154.825659,77,16.490463
232.250387,103,16.542485
204.758077,90,16.583735
15.012652,15,16.590401
64.034975,36,16.608025
92.072767,55,16.634013
220.787755,97,16.675085
217.079552,99,16.717942
219.959445,106,16.763926
197.219199,98,16.802982
196.528126,94,16.843772
204.346336,88,16.87898
208.166302,93,16.917637
206.616449,90,16.956525
209.571457,98,16.99581
192.650871,90,17.032756
220.914057,95,17.071824
208.78817,91,17.108961
201.141818,88,17.147408
70.196394,40,17.163322
60.418709,35,17.17751
211.110161,93,17.215865
203.099667,94,17.25542
201.903387,92,17.984344
192.362998,87,18.030159
216.754781,94,18.076264
220.992887,98,18.122138
194.206722,87,18.163596
194.821212,86,21.021839
215.554583,92,21.057653
78.21458,43,21.07453
215.302665,95,21.11288
207.629395,93,21.149805
208.497325,97,21.190301
205.792888,90,21.225697
234.387963,100,21.26539
206.596578,89,21.301253
208.928343,89,21.335274
202.351465,90,21.370337
223.07742,97,21.409333
208.38248,107,21.449773
234.004234,103,21.4918
187.390406,82,21.523081
88.248865,48,21.541984
222.81151,98,21.579349
188.138964,82,21.612231
197.589912,87,21.645597
189.766101,84,22.375836
232.314887,99,22.426611
226.468028,98,22.475101
238.708034,106,22.524548
209.41623,92,22.56667
211.931474,92,22.605389
205.025031,90,22.64716
212.296186,94,22.68586
229.954607,102,22.728614
221.213627,97,22.769998
221.995149,98,22.808518
199.259297,92,22.849515
204.012341,86,22.883313
225.299223,97,22.923015
229.97523,99,22.963579
221.698265,98,23.001597
66.332688,39,23.018367
227.564812,101,23.059029
218.568215,95,23.094895
225.607148,97,23.133372
141.980103,70,23.162167
214.577179,98,23.199732
239.976948,103,23.943527
203.042487,88,23.988633
259.697996,117,24.044772
208.368332,94,24.08831
250.447786,113,24.139207
171.327391,78,24.174226
229.903886,98,24.215686
261.22707,123,24.269534
229.261242,103,24.312027
224.615312,97,24.353337
208.288305,90,24.390751
80.724736,44,24.408097
248.134026,106,24.45092
207.780461,99,24.491839
178.185279,88,24.525597
266.962235,112,24.570719
268.712599,114,24.615184
213.665113,97,24.653996
242.635732,109,24.697574
240.823576,98,24.735174
228.378724,107,25.468851
203.692683,91,25.517647
92.52126,51,25.542962
254.078323,106,25.596455
246.87668,104,25.643131
270.979047,114,25.696439
164.715783,75,25.728285
186.119713,84,25.763396
210.423638,92,25.804689
134.915362,69,25.832264
281.932423,120,25.882659
266.779349,117,25.930172
260.133927,129,25.982762
156.510041,74,26.014333
202.35879,90,26.04947
241.581924,105,26.092643
259.138054,113,26.138569
226.844059,105,26.182057
211.539929,100,26.223795
222.214767,106,26.264598
209.256376,93,26.301765
231.364737,100,26.341564
255.887,117,27.095465
196.832913,101,27.146078
232.581066,115,27.20131
210.167848,94,27.246317
214.869826,100,27.290625
250.212313,107,27.340305
231.351228,103,27.38337
225.992589,97,27.425742
121.926374,63,27.452889
192.707449,89,27.489
216.720131,102,27.533348
276.364385,115,27.578371
234.791885,115,27.625271
239.358671,104,27.668003
246.052209,108,27.712311
229.895461,106,27.755951
248.575697,114,27.799799
249.747407,119,27.848992
257.805228,107,27.890464
246.829489,106,28.655637
243.828892,103,28.710601
290.579163,119,28.775495
261.612303,111,28.831483
306.524761,124,28.89127
250.938773,121,28.948744
210.861997,94,28.992371
131.957953,67,29.02172
265.086181,115,29.074873
240.046706,104,29.118834
222.636222,103,29.166033
261.342188,110,29.212216
96.974736,55,29.236654
232.524548,101,29.280733
271.747346,117,29.329534
197.59894,90,29.370553
277.960795,117,29.41803
261.644575,114,29.467744
221.819486,99,29.507948
263.146943,111,29.55391
266.937068,118,30.344912
225.123794,106,30.404968
251.919674,113,30.463806
278.502934,113,30.519724
216.636818,98,30.566338
162.893644,77,30.603112
228.527446,99,30.647418
223.18937,102,30.695786
154.068663,81,30.73091
280.768281,119,30.78386
318.50399,153,30.851229
255.869481,112,30.898237
237.587536,108,30.941813
309.467233,162,31.009924
286.727023,121,31.058991
261.008294,107,31.103745
287.672841,126,31.155522
271.483572,118,31.205219
293.485392,120,31.995809
246.792068,111,32.05662
262.110521,113,32.114718
224.661569,116,32.172753
234.941907,113,32.230415
276.142552,113,32.280924
359.521885,142,32.347579
313.854394,127,32.404498
177.594839,82,32.441266
195.876184,95,32.481861
325.854274,138,32.542639
281.947139,113,32.588374
310.135304,122,32.642209
129.188391,74,32.672576
285.605581,114,32.720739
117.736687,62,32.748145
304.244623,126,32.799987
298.113473,124,32.854506
289.573085,117,33.645569
288.818753,117,33.710783
208.335319,100,33.766344
258.88199,128,33.83082
133.16646,64,33.86412
314.535431,136,33.927959
253.616383,111,33.9797
291.34257,121,34.034014
303.077233,122,34.088244
277.916453,125,34.143199
291.000186,110,34.191124
317.354699,131,34.247001
294.372214,120,34.297659
300.775878,125,34.351854
285.740363,123,34.40497
295.521081,120,34.455869
310.732763,131,34.511403
282.608686,120,34.562948
292.826684,125,35.365692
303.051204,125,35.432472
300.841942,126,35.498191
310.503704,129,35.560968
286.161579,128,35.620615
272.658269,116,35.673663
287.564554,117,35.725772
259.088075,115,35.776503
296.194466,132,35.833743
313.130414,129,35.8946
307.55179,127,35.948961
267.315973,121,36.004185
337.250328,133,36.059252
288.068592,120,36.110485
323.083533,137,36.167339
281.65021,116,36.215721
314.014502,135,36.999691
340.912534,149,37.077021
303.647553,129,37.143464
313.889519,129,37.208035
327.189439,126,37.266793
271.871943,126,37.325182
199.496458,89,37.364764
171.360771,84,37.40353
311.883715,134,37.460897
297.611359,127,37.51672
322.679199,129,37.570099
356.631768,156,37.636046
307.330712,124,37.68643
317.334055,148,37.748666
317.306212,124,37.798826
264.085522,119,37.847622
316.819209,120,38.643969
320.944442,141,38.718524
309.970267,135,38.788081
333.089807,147,38.860018
326.61248,134,38.921412
320.327362,129,38.981038
352.255097,153,39.049822
342.212634,138,39.108233
365.18239,155,39.176018
336.805265,125,39.228074
274.500409,120,39.278239
305.986755,126,39.32932
333.533411,130,39.383464
315.096748,133,39.43957
393.179527,167,39.506489
361.072605,157,40.298134
362.731233,138,40.372511
195.818488,92,40.41797
374.374255,146,40.489604
308.172582,124,40.546005
319.076922,134,40.607669
336.198669,142,40.671147
323.219703,127,45.263218
343.409023,131,45.317577
337.330265,127,45.371754
261.038708,114,45.418133
186.533782,87,45.4557
167.403946,83,45.488935
295.205914,125,45.540965
323.565299,132,45.596201
271.532374,108,45.640331
340.176887,132,45.694109
297.154738,129,46.491972
478.223545,175,46.584613
306.175215,131,46.64886
309.418697,133,46.714615
324.386072,130,46.774918
309.628229,119,46.828238
351.429174,137,46.888441
320.224233,126,46.943442
355.651665,144,47.007202
339.994314,131,47.060727
321.667104,141,47.122078
342.410678,124,47.17426
341.232102,129,47.231486
370.491765,148,47.293129
307.598153,131,47.348955
295.662601,119,48.145334
359.088108,133,48.219541
267.659138,104,48.273139
323.043611,139,48.344727
308.224901,128,48.405808
300.734411,130,48.466084
337.230935,133,48.526486
357.961527,137,48.586044
288.745038,127,48.643753
331.691922,132,48.698389
348.459678,133,48.756342
369.756971,154,48.821775
218.672694,98,48.862954
208.041328,91,48.899481
349.003422,128,48.954438
293.023577,124,49.003428
289.007398,123,49.784382
342.571916,137,49.860006
305.728039,126,49.921261
370.031345,135,49.987769
