#{"t_start": 1706985606.886881, "env_id": "CustomHopper-source-v0"}
r,l,t
11.539619,13,0.009581
12.503432,14,0.014776
8.22287,13,0.019658
4.396666,25,0.02918
25.925963,25,0.038463
6.77437,25,0.047815
14.414236,19,0.055063
11.929858,12,0.059578
32.985305,32,0.071479
21.243288,21,0.079401
28.477132,30,0.09071
4.461234,12,0.095224
3.377855,7,0.097969
16.262016,16,0.105599
9.547358,13,0.110595
7.047957,9,0.114036
5.409316,10,0.117845
8.817534,17,0.124115
10.298922,18,0.130952
7.996199,25,0.140401
7.941266,32,0.152225
3.259332,9,0.155753
6.365292,11,0.159859
39.154133,44,0.176217
8.813538,17,0.182532
18.319603,20,0.190002
7.556976,11,0.194006
11.565437,18,0.200664
10.100757,35,0.215382
21.262884,18,0.222142
9.82573,20,0.229657
5.914941,10,0.233439
8.538341,15,0.239197
11.397498,13,0.244092
4.976754,12,0.248587
10.741522,12,0.253243
17.922118,24,0.262265
15.079143,19,0.269512
6.074549,17,0.275834
5.370609,12,0.280317
20.376397,21,0.288159
11.36659,21,0.295909
18.356668,21,0.303771
5.295797,17,0.31182
11.85769,14,0.317025
8.331192,10,0.320771
9.536508,16,0.326763
15.946753,26,0.336519
19.931722,19,0.34372
4.280998,10,0.347516
32.392175,38,0.361667
11.443196,16,0.367727
6.716881,28,0.378068
8.623806,12,0.382658
9.75347,15,0.388365
6.59094,18,0.395159
7.131336,28,0.405774
12.111726,13,0.412235
22.986512,22,0.42046
8.348034,17,0.426743
20.47054,30,0.438052
7.264052,10,0.441851
5.417378,11,0.445997
13.870845,19,0.453194
24.315968,33,0.465509
11.725985,14,0.470753
3.0391,12,0.475309
5.745415,10,0.478984
13.794788,18,0.485753
8.911667,12,0.490163
6.552102,9,0.49357
25.611662,21,0.501318
10.581893,17,0.507801
15.42933,21,0.517279
19.440902,33,0.529696
6.649619,10,0.533449
11.201242,16,0.539502
13.408374,15,0.545237
32.984776,57,0.56653
21.376233,20,0.574451
22.960085,21,0.584113
17.635088,31,0.596192
7.258827,10,0.600036
15.525982,29,0.612945
5.557353,18,0.619981
8.121547,12,0.624576
45.427968,57,0.646305
48.533512,63,0.67093
17.864945,30,0.682431
20.735251,29,0.694041
4.199926,12,0.698713
8.526055,14,0.70449
26.260227,25,0.715596
5.475869,17,0.722072
13.725623,23,0.730808
9.658542,17,0.737285
13.505912,16,0.743429
5.401055,22,0.751923
12.326803,14,0.757256
