#{"t_start": 1706992086.7645898, "env_id": "CustomHopper-source-v0"}
r,l,t
11.528733,13,0.010082
12.900667,14,0.016133
7.988676,13,0.021513
2.737666,27,0.032923
19.250018,24,0.042784
6.182043,25,0.053072
12.150702,19,0.060911
9.8415,11,0.065473
28.03516,29,0.077294
17.340818,26,0.087932
19.910259,31,0.100501
7.483956,12,0.107193
11.009927,19,0.115057
9.15022,12,0.119923
8.199207,12,0.12482
5.090827,9,0.12849
8.854566,17,0.135449
10.497723,18,0.142835
8.041647,24,0.152725
9.629762,33,0.166063
3.258517,9,0.169811
7.382636,12,0.174709
26.229821,41,0.191425
8.082645,16,0.197792
20.039445,25,0.209669
8.601011,19,0.217364
23.544636,26,0.228052
13.523758,30,0.240482
15.115618,23,0.250044
5.101772,11,0.254598
6.025857,15,0.260715
9.741406,12,0.265669
6.15658,13,0.270911
13.102266,13,0.276194
17.944529,24,0.285971
14.125088,18,0.293291
5.734283,19,0.300976
28.197964,33,0.31618
9.62782,20,0.324231
18.934373,22,0.333129
5.078038,21,0.341786
7.926216,10,0.345934
6.924926,9,0.349585
9.823929,16,0.356089
15.931086,26,0.366565
19.860832,19,0.374344
4.47846,10,0.378464
22.334002,28,0.389769
8.607707,14,0.395442
9.211362,14,0.401135
7.870515,26,0.413138
9.000157,13,0.418493
9.561362,13,0.423848
7.193717,19,0.431438
7.760897,27,0.442575
14.175297,14,0.448484
21.718361,21,0.457057
7.454908,10,0.461111
7.676475,14,0.466922
12.490053,23,0.476271
9.362596,12,0.48114
4.346201,11,0.485673
14.292659,18,0.492922
21.848891,31,0.505383
10.458409,14,0.512702
2.660642,12,0.517707
7.16372,9,0.521433
17.976577,21,0.529879
8.812121,12,0.534726
5.533179,8,0.537972
26.175978,22,0.54692
17.14329,34,0.561199
19.442899,35,0.576229
6.435514,10,0.58283
6.99093,15,0.58964
22.705326,21,0.59863
68.720441,43,0.617629
9.252727,16,0.624095
7.440493,13,0.629478
30.413816,26,0.640099
13.889772,20,0.648425
12.742415,19,0.656235
11.919091,27,0.667354
8.717952,18,0.674602
7.751679,13,0.679988
44.611383,54,0.70125
96.558707,61,0.727196
6.451434,9,0.730814
16.334004,24,0.740695
32.470579,34,0.754542
5.010068,13,0.759833
7.392145,13,0.76523
27.917775,36,0.779703
10.510956,23,0.788952
8.553426,16,0.79544
17.76071,19,0.803207
3.587564,22,0.812203
7.077867,10,0.817859
7.924662,15,0.823965
10.399304,13,0.829194
11.547462,13,0.834503
38.482848,28,0.845905
9.45886,12,0.850776
56.702173,57,1.490896
9.725727,22,1.500542
8.738212,16,1.507405
5.247599,9,1.51146
11.467358,35,1.526009
18.978872,20,1.535822
22.288872,21,1.544365
4.458379,9,1.54802
12.148531,21,1.556596
58.702643,46,1.575618
8.025465,16,1.582221
32.083512,28,1.593686
9.855186,16,1.600225
15.592792,25,1.610477
57.061504,34,1.624262
5.74636,11,1.630527
8.160999,15,1.63682
9.777173,16,1.643361
39.373255,38,1.659024
9.565499,21,1.667776
10.165174,18,1.675197
84.316541,47,1.694174
7.730854,13,1.699508
16.696065,20,1.707701
4.422218,14,1.713485
29.00055,36,1.72799
16.512991,19,1.73752
23.560625,30,1.749862
82.502989,55,1.772259
18.677466,18,1.779753
13.649532,18,1.78714
10.540062,13,1.792392
4.928304,11,1.797016
30.693132,26,1.807446
7.139022,12,1.812228
14.075366,15,1.818283
7.199225,12,1.823165
11.637239,20,1.832877
19.161682,17,1.839888
7.522821,14,1.845559
12.970134,26,1.856019
21.420832,27,1.867061
9.57595,13,1.872315
75.407573,43,1.889766
4.811927,12,1.894874
13.04217,16,1.901406
6.978936,23,1.910841
5.17642,16,1.917423
22.969086,20,1.925648
4.853828,12,1.930547
29.918455,28,1.94386
52.86853,70,1.971823
11.814637,13,1.977304
56.857122,56,1.99995
12.642302,25,2.010187
17.681923,22,2.019211
14.953509,18,2.026436
29.433896,29,2.039981
45.429696,39,2.055723
6.875844,9,2.059392
18.125087,19,2.06718
13.391585,20,2.075406
