#{"t_start": 1706977081.4086492, "env_id": "CustomHopper-source-v0"}
r,l,t
10.376131,28,0.366115
11.55486,15,0.371718
5.747447,11,0.375775
7.303747,16,0.381737
10.829024,21,0.391173
9.151234,16,0.397143
10.485161,16,0.403059
13.627347,23,0.411544
11.028874,13,0.416363
3.914328,14,0.421589
11.575079,14,0.426816
16.06298,18,0.43343
3.720931,11,0.437536
6.66845,10,0.441172
15.866166,20,0.448465
8.965559,15,0.455651
4.576049,9,0.459091
11.774248,16,0.464898
2.916275,18,0.471591
5.005819,9,0.474907
17.72151,20,0.482262
6.183136,9,0.486155
12.669844,20,0.494042
54.236607,42,0.509674
12.131305,31,0.521118
29.903453,23,0.529608
5.681161,8,0.532614
3.754001,11,0.536742
52.117926,34,0.549124
10.982197,15,0.554615
8.319011,16,0.562132
9.159692,10,0.565863
7.014714,12,0.570284
11.472182,15,0.575825
86.72979,46,0.593755
6.770919,9,0.597421
9.114701,16,0.603369
6.765552,11,0.607578
4.198464,25,0.616714
6.789893,17,0.622994
18.728532,26,0.632665
16.459195,17,0.638889
18.374919,20,0.646218
14.320684,17,0.652425
17.569744,28,0.664335
11.534537,13,0.669129
19.31903,20,0.676518
4.684708,8,0.679498
8.839484,12,0.683879
8.451301,15,0.689947
14.419346,19,0.697636
26.345011,32,0.709594
7.228111,11,0.713737
13.562779,15,0.719256
7.187143,14,0.724331
7.437415,12,0.728642
14.040277,15,0.734164
10.795319,16,0.740031
4.941052,13,0.744904
15.4029,21,0.752583
9.70497,11,0.756586
10.046516,19,0.765025
9.469006,11,0.769002
24.098178,30,0.779817
6.706971,11,0.783913
14.21638,15,0.790081
4.556593,10,0.794403
7.588206,10,0.798277
65.791714,45,0.8142
4.813708,15,0.819765
23.897569,24,0.828382
8.010616,14,0.833608
5.939982,12,0.838119
23.294613,24,0.84683
13.515333,14,0.851928
9.421235,12,0.85631
12.143546,15,0.863262
17.394079,19,0.870097
11.669969,19,0.876965
1.262862,18,0.883488
29.509912,45,0.900991
9.036712,11,0.90509
6.778888,11,0.909123
7.959728,15,0.914583
8.330517,14,0.919797
5.273358,10,0.923478
34.074555,28,0.933465
21.104568,25,0.943084
10.212328,25,0.954884
15.227157,19,0.964433
8.639535,19,0.971863
5.840471,10,0.975646
6.852952,11,0.979584
2.607897,12,0.98399
6.088579,17,0.990372
7.704287,12,0.996221
8.759528,19,1.003378
16.480099,19,1.010522
14.076276,30,1.021666
11.061382,16,1.027473
4.269465,16,1.03334
17.133793,18,1.039966
9.803051,13,1.044623
13.305536,16,1.050466
6.379948,12,1.054892
13.565963,18,1.061468
7.770168,16,1.068833
57.728596,46,1.085429
5.271857,18,1.092152
47.082716,41,1.10819
25.052156,29,1.118983
9.445743,18,1.125657
20.062179,21,1.133316
23.782109,27,1.835274
142.464233,90,1.869305
9.806373,16,1.875392
42.352122,31,1.888544
39.831093,60,1.91202
11.998122,14,1.917388
10.341477,15,1.923408
79.75635,79,1.953624
158.249973,85,1.986727
15.824395,17,1.992933
37.763481,30,2.003874
11.482453,14,2.009192
25.188768,25,2.01883
72.176504,44,2.035213
42.655375,36,2.048413
66.588753,41,2.064244
69.325223,79,2.094872
24.163938,18,2.101596
110.886085,74,2.130128
36.92491,29,2.140986
12.836122,20,2.148342
86.04614,50,2.166619
34.852674,26,2.176199
8.787334,26,2.187278
8.154611,10,2.191146
8.477964,11,2.195287
26.115693,35,2.208519
14.393149,24,2.21798
17.027933,16,2.224238
15.198398,16,2.230404
9.899899,13,2.235304
10.961077,21,2.243081
11.490434,13,2.247956
29.351421,25,2.257263
19.468324,20,2.264628
15.900964,16,2.270544
15.139767,15,2.276042
180.616892,126,2.323809
18.738928,24,2.333332
16.692556,18,2.34011
7.361595,10,2.343835
75.653808,44,2.360209
42.779226,34,2.372963
7.469061,13,2.377664
9.007755,12,2.382081
9.811945,27,2.393291
24.761019,44,2.409473
18.579231,18,2.416474
93.194855,50,2.435522
8.47661,11,2.439608
50.866684,35,2.452546
16.895194,27,2.462433
14.235658,19,2.469505
9.22942,11,2.473641
12.040832,15,2.479244
15.367463,28,2.491143
36.936389,45,2.507823
14.484812,36,2.521925
5.213838,30,2.533371
25.128213,33,2.545687
13.101595,29,2.556521
29.617069,28,2.566706
18.385653,17,2.573158
17.95039,16,2.579014
61.393283,73,3.272457
11.011446,27,3.28462
12.786407,14,3.289763
81.125366,45,3.307584
110.07806,59,3.329097
131.728513,66,3.355562
11.445817,14,3.360789
7.200585,11,3.364903
11.802177,34,3.377662
13.729128,42,3.393245
51.998453,32,3.404865
168.661724,94,3.441726
57.312496,43,3.458731
193.948174,105,3.497956
21.115775,43,3.515351
54.447179,58,3.537437
7.983522,11,3.542221
17.183677,22,3.550472
193.341818,87,3.583402
115.628521,66,3.608206
45.702357,37,3.623603
68.243129,39,3.637762
25.316763,23,3.646816
64.776142,62,3.670228
33.78329,38,3.684579
27.993754,31,3.696393
31.677738,35,3.709516
6.503805,12,3.715452
15.877495,17,3.721817
11.919003,22,3.73003
194.938646,105,3.769816
124.925915,74,3.797845
11.764064,15,3.80347
30.923548,25,3.814456
20.873845,20,3.82188
107.421925,55,3.842385
86.884888,48,3.861109
15.556127,17,3.867596
82.517618,46,3.884623
21.739548,22,3.892953
25.539207,34,3.905693
81.920013,105,3.946696
37.816057,29,3.957884
95.725928,59,3.979527
111.314293,60,4.002053
7.937761,12,4.006505
18.711997,20,4.01397
122.579758,79,4.044137
21.479399,23,4.053349
7.421094,13,4.720997
50.1526,36,4.737716
203.135231,92,4.772233
12.11752,15,4.777934
61.862092,39,4.7923
160.049545,104,4.830809
86.144517,52,4.851434
167.647077,114,4.895062
168.912405,85,4.926471
22.043856,19,4.934997
16.390129,18,4.94173
15.088077,28,4.952093
251.672659,108,4.992274
23.384478,20,4.99978
100.134388,58,5.021072
9.72865,13,5.025889
68.594113,40,5.042425
83.357069,51,5.060918
91.673718,60,5.084277
92.667619,50,5.102853
35.359532,29,5.113846
11.091518,15,5.119469
100.349911,65,5.145123
115.435112,77,5.173828
68.083873,42,5.189474
11.762138,14,5.194538
89.56287,49,5.212729
18.075106,21,5.220634
47.950419,37,5.234133
68.404471,56,5.256257
165.186327,82,5.287092
27.888458,31,5.299475
62.390344,37,5.313353
66.207594,42,5.329191
65.862762,38,5.344683
62.625764,37,5.358725
87.86477,62,5.382725
14.586679,19,5.390462
195.330559,100,5.428786
231.667075,100,5.467927
27.578076,29,5.479572
104.577505,59,5.501785
76.128369,43,6.187469
72.384877,49,6.205773
132.674045,69,6.231683
75.710672,44,6.248028
146.920797,94,6.284927
81.706393,46,6.302847
148.756144,80,6.332936
27.614771,25,6.342498
87.922465,53,6.3638
135.540835,68,6.389514
140.377972,72,6.416907
178.715714,88,6.449973
74.595171,42,6.467409
68.45219,46,6.484946
119.262803,60,6.508687
222.365997,99,6.54581
107.401033,61,6.569899
115.040507,64,6.59433
72.947718,43,6.610789
245.855086,116,6.655033
182.519576,86,6.687839
102.354601,59,6.712087
160.483846,75,6.739863
226.868241,106,6.781801
142.730802,77,6.813403
74.333025,42,6.829411
173.596708,89,6.862578
122.921933,63,6.887735
100.532955,55,6.911013
200.215493,95,6.94599
16.860674,17,6.95244
227.025832,114,7.687754
139.089345,71,7.716623
94.40928,50,7.735658
222.79186,104,7.773817
233.893092,107,7.817265
73.031828,43,7.833305
152.010224,85,7.865691
155.950368,81,7.897611
252.652092,114,7.942628
222.482718,99,7.97917
363.801646,134,8.032432
109.1736,58,8.054214
208.195437,104,8.09444
187.859177,91,8.130967
160.796663,80,8.161601
151.893733,71,8.188016
215.350103,99,8.228886
216.544383,104,8.268253
94.212423,56,8.288727
181.714777,90,8.324122
52.110823,30,8.335729
11.817743,14,8.341119
201.845605,105,8.379596
169.0286,124,8.428278
55.284137,32,8.440593
309.915528,125,9.169069
204.198754,93,9.203469
264.756457,131,9.256412
248.188411,107,9.296077
258.812008,123,9.345617
193.573139,88,9.37923
270.661964,130,9.428621
191.607128,87,9.463683
171.606401,85,9.495482
193.403176,92,9.531108
194.781698,93,9.568591
243.576808,114,9.612118
115.462581,68,9.639129
255.364119,109,9.683629
192.53243,92,9.719955
157.815746,78,9.75134
121.031778,63,9.775403
192.923419,89,9.808048
131.915933,71,9.836234
171.300142,79,9.868604
69.331749,40,9.883618
227.712235,112,10.605518
134.474054,69,10.632478
234.877139,107,10.675995
145.427284,80,10.706178
87.943667,52,10.725276
129.237466,66,10.751445
263.854255,134,10.803696
277.997391,146,10.858578
214.754946,98,10.897748
221.534899,106,10.936874
305.584295,129,10.988878
237.145836,125,11.035316
108.29146,63,11.060294
318.403541,144,11.116252
54.169926,37,11.130164
229.058204,122,11.178767
296.816688,139,11.230588
110.485431,61,11.254524
296.61061,124,11.302964
236.972832,98,11.338551
147.884235,75,11.367709
236.820469,119,12.111179
