#{"t_start": 1706973656.4462385, "env_id": "CustomHopper-source-v0"}
r,l,t
10.136191,17,0.023478
7.976027,17,0.038361
11.628714,14,0.050537
5.810856,12,0.061444
8.967769,14,0.073514
12.95131,15,0.086744
6.672658,12,0.097131
5.879998,9,0.10494
8.998091,14,0.120144
13.129309,22,0.140244
11.229968,13,0.151664
3.747052,14,0.1642
11.508716,14,0.177296
15.058409,17,0.192266
2.640209,11,0.202001
5.842996,9,0.213135
8.101351,18,0.229723
23.227886,20,0.263445
2.644879,9,0.272835
13.625357,17,0.287427
4.253748,16,0.301749
5.001113,9,0.309862
17.427072,20,0.331394
6.227377,9,0.339221
12.176179,20,0.357105
53.102654,42,0.392529
12.129981,30,0.421334
28.304989,23,0.443182
6.875097,9,0.451234
4.251877,11,0.461325
52.363941,34,0.49004
10.041253,15,0.503098
7.968592,16,0.517329
9.227098,10,0.532754
7.233921,13,0.54445
13.684933,17,0.561328
79.649869,47,0.603881
5.111929,17,0.618526
5.59711,10,0.630229
6.976359,10,0.639094
13.291476,30,0.664868
5.142391,10,0.673865
13.674075,18,0.689431
25.434362,25,0.710747
49.148605,35,0.743297
11.772343,30,0.772098
38.583899,32,0.800285
3.978056,7,0.806636
9.791799,12,0.816979
6.233208,15,0.83321
7.035291,10,0.842073
37.427277,39,0.879194
8.729509,12,0.889962
13.423315,15,0.903174
7.970862,15,0.916024
7.155305,12,0.926396
12.8791,15,0.942356
9.251953,14,0.954489
3.419389,11,0.964924
14.371609,23,0.98548
7.930956,10,0.994192
7.448569,14,1.006314
19.959339,18,1.021724
15.878252,17,1.039737
20.286685,19,1.056105
14.886242,19,1.073127
6.485147,11,1.082844
7.643939,10,1.094223
77.086322,50,1.135612
3.4471,10,1.147707
21.657309,23,1.172851
8.552143,14,1.187179
8.387626,19,1.208215
14.705726,16,1.223113
17.447831,17,1.2378
7.201285,11,1.25044
12.094222,15,1.266783
16.080615,18,1.290619
14.495039,19,1.310418
2.842438,21,1.332553
22.177409,41,1.370448
6.988552,9,1.379611
5.564545,9,1.38749
5.507982,11,1.398838
6.906992,22,1.417636
4.769892,11,1.427376
31.164395,26,1.45419
15.468443,27,1.481029
13.810222,27,1.504321
14.991039,21,1.522161
10.043712,19,1.541026
4.191636,8,1.548036
9.217413,13,1.562962
3.006307,10,1.571903
9.94093,25,1.594563
14.208276,22,1.61361
12.210414,15,1.626375
30.356543,35,1.659251
7.743424,11,1.671386
6.501034,18,1.687382
19.324104,20,1.704424
9.008469,12,1.714656
12.582983,17,1.729183
6.124379,15,1.742116
18.234559,19,1.763498
9.283407,12,1.777724
56.32992,45,1.816145
7.426576,15,1.828893
4.038292,14,1.840906
23.066917,29,1.86852
13.048358,26,1.890388
12.82147,15,1.903192
10.707045,14,1.914996
9.826794,16,1.928786
26.967656,30,3.05022
79.388727,72,3.118026
19.64981,27,3.142468
47.805408,32,3.170271
86.288606,64,3.228441
9.991656,11,3.238237
