#{"t_start": 1706972542.07797, "env_id": "CustomHopper-source-v0"}
r,l,t
10.75299,28,0.016658
11.719742,15,0.023698
5.57824,11,0.029607
8.240394,16,0.036151
11.162032,20,0.04453
9.741245,17,0.05146
8.594285,14,0.057076
2.773598,6,0.059475
16.946352,22,0.068542
7.400823,10,0.072684
3.974139,14,0.078368
11.398626,14,0.083957
14.773028,17,0.090671
2.148162,12,0.095467
6.491709,10,0.099384
15.752635,20,0.108924
8.981248,15,0.114879
4.136554,9,0.118611
12.541249,17,0.125166
4.116639,17,0.132553
5.252276,9,0.137665
17.671551,20,0.145722
6.207998,9,0.14922
12.455777,21,0.157816
63.237982,39,0.173246
12.883108,33,0.186398
37.458998,27,0.197114
6.78448,14,0.202622
49.127046,34,0.217655
12.967295,15,0.223539
6.43775,16,0.229951
12.459509,12,0.234806
6.689781,12,0.239639
13.884823,17,0.246424
82.436371,48,0.265429
5.008325,16,0.271951
7.145502,11,0.276411
7.466023,10,0.280289
22.357095,33,0.293163
16.417664,24,0.30275
27.168924,27,0.315036
16.587873,16,0.321291
14.799036,16,0.327556
18.702514,30,0.33958
51.272996,36,0.353603
4.344308,10,0.357909
16.824074,19,0.365498
9.629635,12,0.370325
35.975573,36,0.384712
10.120897,14,0.390264
8.461787,10,0.394189
16.407456,18,0.401332
9.496844,13,0.40647
15.808488,17,0.414704
9.998271,15,0.420536
5.079871,13,0.425674
15.370047,21,0.43398
9.65353,11,0.438452
9.898291,19,0.446087
9.306324,11,0.450548
14.815464,16,0.456979
15.907209,20,0.465105
16.774648,20,0.473197
4.911305,10,0.477258
8.995258,12,0.482043
69.576978,46,0.499961
4.740838,12,0.504795
21.631563,23,0.515507
8.050768,13,0.520566
8.611837,17,0.527285
22.210885,20,0.535029
10.008831,11,0.539415
11.291506,13,0.544667
5.420783,9,0.548258
5.387275,12,0.553189
20.635034,20,0.561306
13.250128,17,0.568131
3.934933,15,0.574224
35.409856,47,0.593191
10.416963,12,0.598452
6.428208,11,0.602908
6.295266,13,0.608365
8.576424,14,0.616927
5.369554,10,0.621237
30.635481,26,0.631988
14.788741,26,0.642688
13.809222,27,0.653901
14.242371,21,0.66268
10.189782,19,0.670557
3.667825,7,0.673434
7.413318,12,0.678256
2.221837,12,0.683231
9.784852,25,0.693174
15.245573,23,0.702463
16.784414,19,0.709967
14.493707,28,0.722552
11.438152,15,0.728427
7.115161,17,0.735201
17.703318,19,0.74283
9.840844,13,0.748084
13.965347,17,0.754985
7.014461,11,0.759544
10.384937,15,0.765514
7.30802,15,0.771627
4.902,10,0.775691
15.939844,30,0.787654
4.95762,10,0.791797
6.85912,16,0.798214
8.427724,14,0.803712
21.614221,26,0.814082
18.32894,28,0.826639
9.489593,13,0.83181
19.697975,22,0.840364
10.981542,19,1.47251
10.418817,18,1.480342
17.820859,38,1.496707
39.860689,31,1.509524
16.072433,24,1.519203
11.026469,15,1.525206
16.971508,16,1.533137
6.231199,10,1.537242
12.705361,22,1.546357
59.146501,36,1.562714
15.742973,16,1.569257
8.883804,13,1.574709
80.188266,81,1.607361
61.574543,42,1.624198
15.75075,18,1.632932
5.277716,28,1.644212
15.162392,19,1.651719
19.044006,20,1.661478
5.505066,10,1.665723
7.011099,10,1.669969
17.963113,18,1.677441
18.063104,17,1.684398
37.099668,29,1.696045
11.06921,13,1.701212
14.934694,22,1.710122
86.264582,48,1.72919
26.40743,39,1.746245
18.400429,24,1.755866
12.64033,19,1.765552
9.243977,11,1.770039
12.715798,19,1.777922
19.413835,37,1.792825
90.548204,51,1.812874
14.937906,18,1.820024
40.907252,30,1.831915
10.969514,13,1.83857
20.048024,21,1.847019
12.352661,18,1.854184
10.213574,21,1.863881
7.132964,9,1.868011
7.959671,11,1.872703
6.574403,11,1.877166
22.382058,25,1.887255
13.830344,24,1.896755
12.283014,13,1.902023
19.150277,19,1.909546
8.972624,12,1.914365
15.254849,23,1.923566
7.30083,9,1.927233
35.295858,29,1.940439
10.577413,14,1.945946
8.558744,15,1.952153
10.560359,14,1.957696
18.43936,18,1.966626
38.35146,40,1.982807
2.954688,18,1.990111
16.320593,37,2.004686
8.7332,12,2.009396
7.503409,11,2.013866
11.201843,19,2.021416
18.710631,19,2.029034
5.123667,8,2.032204
74.517366,43,2.050885
2.899315,9,2.054473
39.969315,29,2.067247
6.96135,12,2.072598
9.744314,12,2.077472
6.883973,27,2.0884
37.82665,46,2.106858
13.746703,15,2.112866
135.423984,69,2.141189
21.277921,27,2.151802
20.094815,27,2.162546
18.952864,30,2.174543
9.673812,15,2.180717
9.800051,28,2.191963
33.278482,36,2.206348
9.390809,12,2.21117
16.160568,37,2.225845
5.922518,18,2.233084
8.886576,28,2.245655
18.121318,16,2.252116
11.135731,27,2.262774
19.86331,20,2.27272
5.806287,12,2.277737
15.992298,16,2.284199
21.415645,20,2.292351
52.903015,64,2.317719
6.635993,29,2.943608
17.867365,16,2.950048
29.883581,20,2.959591
67.363619,38,2.9743
96.914591,51,2.994122
134.993966,64,3.018695
8.80598,11,3.022959
2.438444,26,3.033015
13.196913,30,3.044561
8.118326,12,3.049222
65.312218,46,3.068506
95.475718,70,3.095471
5.091843,31,3.107603
45.970858,34,3.120806
27.68091,24,3.13014
144.257736,83,3.16354
29.606733,48,3.181647
58.983242,60,3.204768
10.616586,13,3.209858
10.50894,12,3.214534
8.489839,10,3.218394
49.720166,29,3.229505
20.527757,25,3.239114
74.948799,46,3.256716
74.988935,51,3.277608
54.545426,40,3.292896
22.806278,20,3.300693
93.992468,52,3.320507
10.465319,13,3.32548
9.94599,13,3.330579
60.589081,59,3.353232
55.771901,54,3.375273
14.139555,15,3.381127
25.672571,21,3.389272
49.269973,70,3.416168
124.064386,64,3.44027
99.164619,73,3.469517
10.642211,15,3.475121
25.476722,21,3.48306
12.809196,14,3.488402
6.876585,10,3.492454
29.845186,26,3.502522
76.760589,44,3.519256
73.046309,41,3.534811
15.515378,14,3.54011
84.110322,67,3.567329
54.924129,35,3.580456
79.693326,63,3.604661
6.016191,31,3.616555
43.080596,32,3.628855
112.297111,64,3.652604
52.043495,36,3.667863
43.527767,32,3.679867
72.230758,40,3.695149
5.298217,9,3.698687
30.829612,34,3.711822
51.99393,38,3.726358
61.111546,54,4.339451
59.178235,35,4.353254
61.875988,35,4.366735
87.471742,47,4.38624
16.281298,17,4.39301
10.243921,12,4.397703
95.014345,63,4.424339
57.457602,34,4.43759
169.799601,79,4.467706
106.698873,79,4.499367
155.712649,75,4.530027
20.737609,19,4.537474
159.768869,88,4.570492
94.300887,52,4.591655
62.607632,37,4.605711
26.802716,21,4.615861
173.987304,84,4.648148
61.218922,35,4.661635
52.117043,30,4.673199
87.434094,54,4.695638
67.748939,45,4.714913
62.647523,37,4.729363
20.89838,18,4.736445
111.287948,74,4.764716
58.502383,33,4.77727
10.344335,15,4.78459
91.797559,49,4.803366
