#{"t_start": 1706983796.9440658, "env_id": "CustomHopper-source-v0"}
r,l,t
11.106625,29,0.034092
12.080964,16,0.047823
4.999423,10,0.056604
6.611115,14,0.068744
7.532135,24,0.091315
10.320928,14,0.103478
10.466859,16,0.120369
13.731325,23,0.140432
11.196717,13,0.15187
3.739618,14,0.164065
11.471196,14,0.176343
17.020437,18,0.195797
3.710167,11,0.205734
5.543762,9,0.216656
9.759822,18,0.232628
15.754392,17,0.247595
4.627979,10,0.256347
12.19953,16,0.270133
2.848747,18,0.287167
4.709445,9,0.295351
17.618704,20,0.315935
6.209192,9,0.323766
12.167718,21,0.341953
63.592843,39,0.374744
12.484818,32,0.406376
27.748695,23,0.429529
7.705926,10,0.438207
3.036628,10,0.447526
52.194417,34,0.477244
10.024978,15,0.490679
7.982832,16,0.507195
10.492254,11,0.525946
6.866771,12,0.53672
13.751451,17,0.553295
79.726263,47,0.600278
5.323723,17,0.615851
6.621961,10,0.627972
7.069502,10,0.636889
13.198825,29,0.662376
6.974819,11,0.672321
13.61625,18,0.687658
27.770432,28,0.714144
17.814765,16,0.734535
13.234363,16,0.74882
12.729067,31,0.775481
35.556322,31,0.80628
4.006708,7,0.813966
9.761301,12,0.824505
6.084537,14,0.84109
9.050667,12,0.851639
54.633646,46,0.891753
6.579649,9,0.899804
12.305397,17,0.91472
3.971936,10,0.923642
11.319265,14,0.938831
7.730066,13,0.950446
7.659257,13,0.961892
5.32043,13,0.973334
15.178243,21,0.991927
9.357515,11,1.005401
10.189055,19,1.025413
9.491305,11,1.039845
28.814442,37,1.071552
17.933144,19,1.089313
4.991778,10,1.099148
7.444008,10,1.108209
74.3028,49,1.152715
5.366432,12,1.16329
18.065159,22,1.182154
7.868425,13,1.194082
7.381043,15,1.207165
20.874241,23,1.227092
8.489635,10,1.236084
10.218793,12,1.249882
7.198408,12,1.260464
5.640504,12,1.273252
15.358005,19,1.291252
13.71419,18,1.310966
4.662821,14,1.323302
28.853293,43,1.36387
6.917255,9,1.372211
5.2742,9,1.380186
5.239251,12,1.390854
7.48215,22,1.410187
3.752187,10,1.419094
31.275263,26,1.441061
16.010004,28,1.467699
10.216413,26,1.489816
15.562489,22,1.509008
12.197036,22,1.533312
10.950664,17,1.558346
3.080824,10,1.567423
10.153733,25,1.5891
15.132455,22,1.611702
16.515649,19,1.628277
13.085258,28,1.656016
14.716919,16,1.673273
8.384533,18,1.688846
17.196565,18,1.704883
9.015541,12,1.715032
12.386521,17,1.730778
6.141477,12,1.741543
13.078842,18,1.757226
7.124644,15,1.773149
50.905526,46,1.822127
7.378075,15,1.836192
4.093231,14,1.848599
23.417014,29,1.87709
12.873307,26,1.902317
12.208205,14,1.915363
11.947069,16,1.929206
8.88559,21,3.166425
20.381573,22,3.203984
55.616721,67,3.307089
29.269296,27,3.352067
45.83884,41,3.401766
11.300528,23,3.440108
58.70973,36,3.48246
10.294152,13,3.49785
9.399306,12,3.512717
100.991991,68,3.601567
5.939633,12,3.619205
63.020553,44,3.677175
14.979215,17,3.697029
4.427813,13,3.718385
8.347645,20,3.748266
7.44013,13,3.766384
15.546927,18,3.791986
7.467528,15,3.814748
7.004737,10,3.826724
17.733143,18,3.851866
17.027456,16,3.873227
35.990105,31,3.910737
79.476589,49,3.971925
104.231566,58,4.051619
16.319025,17,4.071367
18.946813,23,4.10219
13.01378,17,4.123901
10.453755,12,4.138109
17.51181,22,4.167715
91.017777,59,4.241773
15.012647,18,4.267
6.644784,9,4.279312
15.213444,17,4.299594
40.007746,29,4.344501
11.980722,14,4.365814
32.431974,35,4.411056
8.975804,24,4.442772
7.060726,9,4.453091
8.87834,12,4.474707
28.146793,35,4.522607
15.349552,25,4.551339
11.403559,13,4.575274
17.873096,18,4.599521
9.966718,13,4.617453
11.561181,20,4.649652
11.511917,12,4.667686
32.318057,27,4.705824
19.632711,20,4.731141
13.144377,14,4.755941
14.457496,15,4.775192
172.849538,90,4.904598
35.076449,28,4.949342
10.6032,16,4.970776
7.849691,15,4.994672
22.233547,21,5.021827
7.532434,10,5.03447
62.399055,39,5.084101
3.670221,9,5.100672
45.576604,31,5.1426
8.59214,16,5.167477
4.654953,8,5.179915
9.19328,27,5.226346
21.16894,41,5.28702
