#{"t_start": 1706978370.1334672, "env_id": "CustomHopper-source-v0"}
r,l,t
11.645747,29,0.017157
11.765448,15,0.023613
5.474846,12,0.028685
5.344418,14,0.034709
10.825872,20,0.043238
9.878315,17,0.05064
8.678919,14,0.056767
2.791813,6,0.059322
18.434444,23,0.069096
6.938245,10,0.073458
4.160382,13,0.079093
11.365905,14,0.085118
15.015734,17,0.092399
2.114669,12,0.097536
4.858532,8,0.100951
8.066079,19,0.111061
14.262099,16,0.117918
5.044426,10,0.122279
4.782931,10,0.126467
8.326841,10,0.130874
4.813628,15,0.137231
5.118925,9,0.141159
17.779574,20,0.149556
6.185602,9,0.153294
11.693047,21,0.16245
62.833352,39,0.178967
12.593219,32,0.193065
30.224517,24,0.203178
5.751587,8,0.208588
4.300174,11,0.213375
53.053891,34,0.227873
10.068937,14,0.233846
6.276819,16,0.240636
10.652397,11,0.245329
7.622136,14,0.251368
22.321919,20,0.260202
42.764665,35,0.275043
10.011808,13,0.280549
8.921688,16,0.287109
6.716305,11,0.291856
6.343808,13,0.297287
32.744344,30,0.31165
16.133202,22,0.320847
19.406666,20,0.32919
16.409581,19,0.337171
12.192105,18,0.344532
19.061817,30,0.35702
50.987276,36,0.371697
4.190931,10,0.375844
15.909339,18,0.383323
9.041534,12,0.388392
57.084133,48,0.408567
5.906049,8,0.413632
13.39217,18,0.421234
3.582701,10,0.425425
9.013483,12,0.430363
9.574366,15,0.436534
8.094874,15,0.442814
6.077574,13,0.44825
14.261552,20,0.456781
8.944694,11,0.461373
13.811139,24,0.471193
5.690516,8,0.47468
9.213959,26,0.485291
6.677665,12,0.490301
15.047713,15,0.496481
5.229961,10,0.500824
7.741532,10,0.505023
74.908655,49,0.526789
5.182751,12,0.531829
13.760999,17,0.539035
5.461174,13,0.544357
13.426287,14,0.55016
26.080614,25,0.560453
8.945309,11,0.565092
18.909803,18,0.572444
14.368088,17,0.579691
16.281884,19,0.587637
9.626339,22,0.596849
4.664929,14,0.602867
27.927287,42,0.621937
6.125185,9,0.625642
6.654058,10,0.629764
5.20008,11,0.634377
7.23413,22,0.643575
5.070467,11,0.648199
32.049414,27,0.659251
14.906931,26,0.66995
13.74252,27,0.681338
15.429104,22,0.690605
12.243682,22,0.702551
10.244066,17,0.709996
2.880423,10,0.71625
10.071145,24,0.726889
10.194269,23,0.736873
16.228973,19,0.745219
13.11904,28,0.757459
13.388825,15,0.764021
6.226017,17,0.771446
19.164734,20,0.780137
9.046651,12,0.785504
13.534829,18,0.793526
7.02449,11,0.798367
14.356578,19,0.806352
8.336062,14,0.812418
50.636746,46,0.833771
7.36206,15,0.840196
3.553182,13,0.845813
33.675047,31,0.858869
19.256269,26,0.869946
9.859948,14,0.875846
9.31173,13,0.881269
13.2963,17,0.888651
23.909881,31,1.653453
72.723864,70,1.69327
10.005182,30,1.710282
44.323936,32,1.728471
12.8686,36,1.750738
27.196486,37,1.771028
10.070283,16,1.779864
69.923529,78,1.821114
70.546582,47,1.847149
8.838894,14,1.854248
7.517474,27,1.868004
15.348337,19,1.877887
30.235636,26,1.890919
11.401878,14,1.898162
20.852716,21,1.908481
19.454845,17,1.91677
20.91891,27,1.930348
54.454793,40,1.951756
95.265337,59,1.979449
99.99942,61,2.007716
17.259907,15,2.014593
49.07956,56,2.043206
93.006651,53,2.067142
18.243227,20,2.076111
74.429173,44,2.095681
39.547787,30,2.109127
4.220987,24,2.12016
6.708181,9,2.124137
7.581357,13,2.129967
23.288365,34,2.147326
15.662171,37,2.16345
27.006578,23,2.173482
13.538369,29,2.186075
15.272258,15,2.192714
24.62365,23,2.202644
58.520959,49,2.223873
182.16352,123,2.278373
11.230371,27,2.289987
20.056354,23,2.299861
7.192102,11,2.304548
42.517073,34,2.31928
7.610461,12,2.324256
45.477909,31,2.337531
7.536977,13,2.34303
7.2,11,2.34949
8.1637,25,2.360163
19.313021,43,2.378474
8.179825,10,2.382699
79.359621,64,2.409578
8.263281,10,2.413906
30.89832,27,2.425597
12.781854,30,2.438593
28.743313,39,2.456921
12.133774,16,2.463605
9.416745,21,2.47245
28.933793,45,2.491288
8.77445,32,2.504406
2.49352,28,2.516031
120.779302,101,2.559699
13.733345,14,2.565487
23.2271,23,2.575353
70.719567,65,3.331794
15.897407,27,3.347446
17.098178,16,3.356598
53.960034,30,3.375524
73.151964,42,3.398234
63.486182,37,3.418146
115.797329,59,3.449981
10.870916,14,3.457556
1.102535,26,3.473366
9.704568,21,3.484044
13.233264,40,3.504442
45.504791,28,3.518678
152.386584,94,3.565093
119.142931,70,3.601326
20.09785,28,3.61599
108.830696,57,3.642683
7.002416,34,3.658838
9.254881,15,3.665755
42.297708,47,3.689475
10.232625,13,3.695556
23.457544,23,3.706306
65.40994,37,3.723626
24.248847,24,3.734349
91.502502,49,3.756526
26.285526,30,3.770457
9.169698,13,3.778115
41.807129,34,3.793193
135.386843,74,3.825001
9.384833,18,3.832978
44.861758,41,3.851091
13.499463,26,3.862868
150.48273,89,3.903635
14.365339,29,3.916386
182.663107,108,3.962374
116.734614,74,3.995654
12.270722,15,4.002122
29.92785,25,4.012933
25.384803,22,4.022171
30.505989,25,4.032845
160.345147,75,4.064878
21.584447,20,4.073519
81.62019,46,4.094455
16.56105,19,4.102686
29.490167,36,4.117766
287.514538,176,4.192846
20.422289,19,4.200503
34.693967,29,4.2126
31.317931,38,4.228325
19.521157,22,4.237563
79.909076,51,4.258394
