#{"t_start": 1706980281.9098337, "env_id": "CustomHopper-source-v0"}
r,l,t
10.067917,19,0.012002
6.567012,15,0.017639
12.060691,15,0.023688
5.207068,13,0.028584
5.287583,11,0.032708
11.847842,17,0.03917
9.403261,16,0.045109
10.564514,16,0.051028
4.568245,8,0.054037
20.234353,22,0.062249
8.719883,12,0.06673
8.764342,15,0.072423
4.730712,8,0.075517
14.807002,17,0.08183
2.678666,11,0.086023
6.788771,10,0.089683
9.287403,17,0.096075
22.94236,20,0.105357
2.838657,9,0.108886
12.47229,16,0.114938
4.170429,17,0.121296
5.203307,9,0.124732
16.749414,19,0.131829
8.026642,10,0.135647
12.744548,21,0.143531
62.946095,39,0.158022
12.789865,32,0.170129
27.954115,23,0.178713
6.68984,9,0.18206
4.557835,11,0.186195
53.201957,34,0.198648
10.662398,15,0.204197
7.382821,15,0.211441
10.497055,11,0.215618
7.167483,12,0.220095
11.474514,15,0.225653
90.321563,48,0.243183
9.210763,14,0.248523
6.328006,10,0.252396
9.481804,14,0.257679
9.502326,28,0.268039
8.308176,14,0.273299
17.470837,19,0.280385
19.523929,20,0.287863
16.774338,19,0.294967
12.268649,18,0.301701
18.168882,29,0.314236
9.869968,12,0.318697
19.99044,21,0.32657
4.693721,8,0.329566
11.223194,13,0.33436
7.057532,13,0.339405
11.352401,16,0.345479
25.138729,34,0.358356
8.923005,12,0.362889
13.590641,15,0.368426
8.071234,14,0.373562
7.80641,13,0.378351
12.028586,14,0.38352
10.892017,16,0.389505
4.996618,13,0.394354
16.760721,22,0.40258
9.181593,11,0.406747
10.817342,19,0.415431
8.52841,10,0.419236
14.663839,16,0.425061
15.25751,19,0.432196
5.892777,10,0.435962
7.309427,11,0.440102
5.107987,10,0.443929
7.646679,10,0.447778
63.066097,44,0.463784
4.398495,17,0.470269
18.417391,23,0.478812
8.08057,14,0.484061
6.205749,13,0.488976
20.873389,23,0.497514
8.44799,10,0.501374
11.216627,13,0.50631
5.480443,9,0.511113
5.170417,13,0.516149
17.600619,19,0.523177
14.565298,18,0.529858
4.53447,16,0.535932
27.79495,44,0.552361
8.805659,11,0.556466
6.868149,11,0.560535
9.675583,22,0.568652
6.912725,12,0.572997
8.989468,11,0.577087
12.1905,16,0.58305
15.093801,28,0.593311
26.739309,30,0.604442
8.931026,18,0.612736
7.949198,22,0.621029
3.92066,7,0.623663
9.252228,13,0.6284
3.04704,10,0.632193
10.047197,25,0.641489
15.574652,24,0.650581
24.866716,24,0.659496
16.429392,25,0.668881
7.347873,14,0.674261
4.358952,15,0.679997
17.847865,19,0.687064
9.076882,12,0.691411
13.347804,18,0.698137
7.193485,11,0.702263
11.872236,17,0.708616
7.672417,13,0.71501
13.572855,37,0.728777
9.477779,14,0.734023
7.088833,15,0.739628
8.794514,14,0.744941
21.536181,26,0.754816
18.470373,28,0.765182
9.545427,13,0.770033
10.529155,15,0.775561
10.407849,17,0.781952
24.165094,26,1.355248
14.483727,38,1.370532
54.150342,37,1.384881
10.418503,25,1.395097
46.596909,34,1.408468
17.209384,24,1.418034
80.811047,48,1.437827
10.54186,13,1.44295
16.067182,16,1.449192
59.825945,63,1.473422
121.71295,71,1.50117
4.189266,23,1.510416
10.150793,16,1.51658
19.819499,22,1.526756
4.980495,10,1.530622
7.003947,10,1.534541
21.477741,23,1.543373
88.969816,50,1.562185
19.493647,27,1.572675
61.014001,36,1.586848
139.395105,99,1.625427
5.928877,9,1.630457
113.928242,84,1.662771
7.675632,11,1.667072
7.086754,10,1.671012
12.607958,16,1.677026
74.403645,44,1.693516
12.351929,19,1.700912
9.102032,16,1.707265
5.821055,23,1.716357
5.61206,8,1.719429
4.855691,10,1.723463
7.784108,12,1.729528
22.043011,27,1.739751
11.273367,24,1.748803
14.556369,15,1.754604
14.785252,17,1.761057
9.517968,14,1.766352
12.05541,20,1.774069
10.393885,12,1.778823
31.704814,26,1.788533
18.064644,21,1.796489
27.480988,22,1.804685
78.963451,47,1.822062
12.255199,14,1.82728
5.055888,17,1.835266
21.583528,40,1.850289
8.646805,12,1.854712
10.073815,24,1.863904
16.989433,21,1.872058
4.887924,8,1.875061
79.591148,46,1.89218
28.556784,33,1.904718
5.780906,13,1.909618
12.474686,14,1.91501
6.653132,25,1.924391
11.520284,31,1.937686
28.977696,22,1.945969
79.304125,71,1.97211
39.463515,31,1.983668
15.031937,31,1.995255
11.382499,19,2.002354
8.061335,11,2.006594
10.57726,15,2.012232
7.021036,24,2.021113
8.230872,28,2.031504
11.857463,21,2.041062
7.022273,33,2.053305
4.366339,21,2.061223
27.303116,44,2.077651
11.69258,31,2.089228
25.471957,26,2.099154
25.044157,22,2.107373
28.424209,27,2.117537
27.328565,39,2.132787
9.57816,18,2.799679
10.049308,29,2.814993
44.535624,27,2.82919
51.327601,30,2.844231
100.89959,55,2.873354
78.792083,46,2.894781
65.184536,44,2.915327
3.620138,27,2.928245
35.88076,59,2.957515
38.135619,24,2.968275
191.755675,114,3.017663
15.405344,22,3.0275
85.925123,52,3.049799
65.438896,38,3.067906
54.747839,32,3.081428
4.539251,16,3.088107
94.123395,81,3.121232
77.336238,61,3.147043
32.556755,28,3.160395
85.509527,50,3.180452
78.162839,55,3.202548
61.456653,79,3.234048
94.298878,61,3.259701
25.859693,40,3.275896
76.110309,48,3.295221
64.050285,43,3.311872
20.333028,32,3.324534
44.059014,50,3.344954
87.6575,55,3.368825
122.226918,76,3.398731
7.20682,14,3.40433
26.045377,21,3.4128
83.711956,50,3.432678
64.588059,41,3.449016
70.855513,41,3.466483
64.722574,34,3.47921
33.425322,43,3.495912
33.470025,38,3.510761
60.433759,60,3.533991
48.714743,65,3.560916
50.023815,29,3.572222
43.529976,32,3.584344
140.83109,77,3.613831
62.573079,36,3.627884
6.551356,11,3.632268
97.479832,74,3.66215
113.287903,80,4.362998
53.293883,31,4.380692
51.885996,30,4.395279
48.230459,28,4.409221
33.8356,25,4.422435
210.83931,127,4.482975
80.090942,43,4.502041
107.849498,74,4.535544
68.70997,40,4.553228
79.133123,44,4.572434
41.994749,28,4.586267
65.020729,36,4.601634
124.778344,113,4.648701
116.223705,77,4.681871
81.250123,45,4.700085
53.770578,31,4.712886
133.174389,69,4.740189
90.427074,56,4.762824
59.487846,36,4.777144
68.955652,43,4.795665
102.428118,86,4.829238
131.614678,98,4.867003
91.625889,50,4.888085
148.125473,73,4.91645
99.335555,62,4.940675
161.933686,94,4.977032
63.124992,35,4.992314
62.799857,35,5.005922
27.270081,21,5.014422
57.508831,34,5.027881
49.397242,29,5.039455
95.95349,56,5.061496
106.2978,57,5.083976
47.081447,27,5.096143
84.535845,50,5.11585
110.030686,63,5.140599
89.221324,61,5.164812
62.676339,35,5.178568
195.708207,91,5.954756
65.717206,42,5.977838
126.535843,67,6.015141
110.502787,55,6.043999
52.952913,30,6.059237
49.889958,29,6.073844
138.080056,69,6.109092
86.73895,46,6.131175
50.238274,29,6.14672
49.604612,28,6.160259
51.890337,30,6.17458
43.357354,24,6.185947
51.182376,29,6.199779
45.012339,25,6.213085
57.00803,32,6.227688
72.72027,38,6.245474
44.168866,25,6.257067
116.310676,61,6.284914
46.821877,27,6.296973
45.446107,25,6.309563
78.626989,42,6.327825
52.384264,30,6.34152
53.374638,31,6.356226
50.41478,29,6.369019
45.619014,26,6.380394
60.614768,33,6.394449
44.857263,25,6.405283
64.106546,36,6.42221
78.229722,41,6.440335
55.038675,31,6.45438
42.952848,25,6.465384
80.572144,42,6.483225
58.165121,34,6.497596
48.092157,27,6.50914
66.382849,35,6.525162
45.540854,26,6.536149
45.792569,26,6.547414
254.869613,111,6.593907
45.101063,25,6.604377
46.718804,26,6.616747
41.38846,23,6.626424
52.883689,29,6.638578
49.609526,27,6.650839
51.401762,28,6.66273
44.010308,25,6.673069
51.61528,29,6.685505
90.332082,48,6.705138
43.591332,24,6.717055
55.970285,33,6.73056
61.023764,33,6.744151
59.694897,34,6.758884
47.816255,27,6.769963
48.982643,28,6.781577
56.128896,34,6.795846
44.501895,25,6.806305
71.114377,38,6.823302
64.634976,34,6.839564
101.930021,54,6.863488
50.093184,29,7.617102
137.770386,69,7.657055
57.700568,31,7.674151
58.855987,31,7.690836
55.922226,30,7.707026
45.10395,25,7.720637
46.500927,26,7.733917
63.842727,34,7.753463
57.160737,31,7.769224
44.495439,24,7.781196
45.554912,26,7.794
193.538111,93,7.841604
118.869512,59,7.869162
45.207391,26,7.881319
46.620093,26,7.893919
50.504265,28,7.907183
50.336381,27,7.919826
58.570339,34,7.935338
46.116315,25,7.948381
66.321338,35,7.964087
42.658727,23,7.974601
65.478342,35,7.990106
43.064065,24,8.001168
44.947716,25,8.012086
45.439075,25,8.023007
47.18608,26,8.03435
149.362859,76,8.068566
56.875174,31,8.082177
44.676872,25,8.093249
40.403743,22,8.102983
48.945238,27,8.114783
46.622212,26,8.126041
51.888116,28,8.138193
39.747603,22,8.149483
43.03422,24,8.159985
48.720715,27,8.171652
61.156062,33,8.185597
43.8095,25,8.196206
52.673711,28,8.207964
47.330315,26,8.219193
48.957918,27,8.231158
50.545467,27,8.242661
65.542899,34,8.258823
41.657751,23,8.268544
43.962404,25,8.279259
48.283079,27,8.290831
41.619296,23,8.300445
56.192223,31,8.313207
54.142576,29,8.325689
44.69053,25,8.33602
93.84347,48,8.357126
53.666833,29,8.369162
48.420162,28,8.38087
40.893526,22,8.390297
41.61481,23,8.400414
48.367761,28,8.412451
41.887057,23,8.422652
90.506541,48,8.443243
45.715906,25,8.455574
53.742101,30,8.468316
44.324231,24,8.478659
139.048343,69,8.507042
44.732148,25,8.517754
47.207569,27,8.529341
57.589136,30,8.542074
58.974753,31,9.295511
41.768403,22,9.309501
44.071305,24,9.323363
40.313187,22,9.33656
41.178591,23,9.349933
43.681919,23,9.362821
48.764204,26,9.379218
72.940014,38,9.401741
79.948424,42,9.423441
40.324097,22,9.43493
56.543882,30,9.450457
87.049348,44,9.474375
53.291679,28,9.48897
39.857823,22,9.502136
80.844204,42,9.522118
92.946285,47,9.544483
