#{"t_start": 1706976060.5195458, "env_id": "CustomHopper-source-v0"}
r,l,t
9.562601,18,0.012555
7.405587,15,0.018663
10.040337,14,0.024199
6.145885,11,0.028535
3.942564,13,0.033854
13.539995,19,0.041529
9.387496,17,0.048282
9.234707,15,0.054395
4.605178,8,0.057602
16.674033,19,0.065187
7.223174,10,0.069396
3.957751,14,0.075161
11.556874,14,0.080877
16.947328,18,0.088331
3.805187,11,0.092931
6.624112,10,0.097086
15.705353,20,0.107175
8.782026,15,0.113335
4.072253,9,0.117187
12.368775,17,0.124121
3.903614,18,0.131408
5.57819,11,0.135855
8.875837,13,0.141142
8.693326,12,0.145943
18.551274,22,0.154989
61.304552,38,0.17032
21.043773,35,0.184503
28.775662,22,0.193248
5.804732,8,0.196461
3.431515,11,0.200879
53.073639,34,0.216249
9.934368,14,0.222009
9.988815,22,0.230808
10.10368,13,0.236062
7.4733,15,0.242107
20.88108,24,0.251717
27.977539,23,0.260792
10.350956,12,0.26561
8.829403,15,0.271682
6.898285,14,0.277326
3.11968,22,0.286003
7.571702,21,0.294463
14.505321,19,0.302169
14.79128,19,0.31161
7.699548,15,0.317801
20.703169,23,0.330225
16.384296,30,0.342414
56.543466,38,0.357191
7.297125,12,0.361872
17.59701,20,0.370009
18.29845,20,0.377853
12.399733,20,0.385834
13.985029,17,0.392582
5.809951,8,0.395683
13.612403,17,0.402412
4.467241,11,0.406778
8.569178,11,0.412652
9.292648,15,0.418594
8.577177,12,0.42328
4.888065,13,0.428276
15.434894,21,0.436504
9.225678,11,0.440739
9.951606,19,0.44826
9.300155,11,0.452556
27.725368,36,0.466318
16.678193,20,0.474216
4.972521,9,0.477778
7.496615,11,0.482123
65.932452,45,0.499496
4.469612,16,0.505945
12.705192,16,0.513915
5.162608,11,0.518363
19.946558,18,0.525559
8.959702,15,0.531515
8.269077,11,0.536038
17.353835,17,0.542739
7.258456,11,0.547102
11.99166,15,0.553142
16.321005,18,0.560322
15.772445,20,0.568382
0.901428,19,0.580587
26.704403,42,0.606223
6.999193,9,0.609987
7.079708,10,0.615999
5.706817,12,0.621125
9.068049,21,0.630041
3.749876,10,0.634346
30.893503,26,0.644963
15.528821,28,0.656753
9.704227,26,0.667687
14.743704,21,0.676676
10.603187,20,0.685035
3.926218,7,0.688035
9.007136,13,0.693388
2.707901,10,0.697709
9.836975,24,0.708031
10.250983,23,0.719446
16.116536,19,0.727535
12.926091,28,0.739353
15.693759,17,0.746428
5.948218,15,0.75291
18.856349,20,0.761355
9.001208,12,0.766146
13.174345,17,0.773119
6.329089,12,0.778116
14.468541,19,0.786047
7.937739,13,0.791373
28.264253,40,0.807706
5.140308,9,0.811395
6.993245,15,0.819269
7.526848,13,0.824599
30.210662,29,0.836503
18.989188,26,0.847103
9.327517,12,0.852149
8.392518,14,0.857824
14.245404,18,0.865305
16.71737,25,1.584523
24.046483,43,1.607411
32.356047,28,1.621665
18.372607,23,1.635483
7.495886,12,1.641711
33.604429,26,1.654657
13.642445,19,1.664293
93.046118,59,1.693366
8.592145,11,1.698845
8.401737,10,1.703806
18.892667,34,1.720556
17.735911,34,1.738923
78.756682,52,1.763006
9.184565,13,1.769364
3.885191,24,1.780348
6.67269,10,1.784933
6.857529,12,1.791041
12.347814,17,1.798788
6.711545,15,1.805922
6.141002,9,1.81002
16.620991,19,1.818618
16.341846,16,1.825892
32.013594,33,1.842786
42.465204,36,1.858908
96.248425,65,1.887395
23.581167,22,1.89732
15.394105,36,1.912771
14.365282,14,1.919016
10.567363,17,1.92639
29.116655,42,1.946905
84.087177,48,1.967253
11.798011,17,1.974604
35.368245,27,1.986013
16.975326,17,1.993174
15.976887,19,2.001312
11.200171,18,2.008923
7.390093,23,2.018642
6.877945,9,2.022471
7.22976,11,2.027111
5.708769,11,2.031907
17.505832,24,2.043607
9.841638,20,2.051709
14.156054,17,2.058598
17.999047,19,2.066374
7.000873,9,2.070208
8.129398,26,2.080706
9.026819,11,2.085335
28.665384,26,2.096187
13.39443,18,2.103631
7.603933,15,2.109818
10.221032,15,2.116165
84.345626,68,2.14546
6.220237,13,2.150889
27.032711,31,2.163468
10.255209,15,2.169466
11.708363,23,2.178756
17.668304,22,2.187799
6.413413,9,2.191367
53.177024,37,2.206188
6.643973,10,2.21014
46.623489,33,2.223241
6.221668,13,2.228403
6.310829,10,2.232332
4.435895,25,2.244196
28.829341,46,2.262712
9.023233,11,2.267157
48.821971,51,2.287479
14.448097,18,2.294716
30.049223,26,2.305429
21.269457,35,2.319695
10.789928,19,2.327227
8.186658,11,2.331865
9.445796,14,2.337552
5.822137,26,2.349952
9.137127,30,2.361637
13.762418,22,2.370553
12.244906,31,2.382733
4.139269,19,2.390475
22.591531,43,2.40726
19.502442,33,2.42054
14.59067,17,2.427359
7.456786,13,2.432531
15.614101,16,2.439172
19.349059,20,2.449029
33.881759,44,2.46671
11.603459,22,3.168692
4.333788,13,3.175946
7.217142,16,3.184597
12.47528,14,3.192029
15.977459,14,3.199373
85.415969,46,3.223144
28.743444,31,3.239025
53.966095,55,3.267684
30.721403,36,3.285107
6.048373,8,3.289156
3.571362,24,3.300734
8.906274,17,3.308928
7.84399,17,3.317096
27.581845,26,3.329633
16.024979,14,3.336184
9.62656,12,3.341716
18.878497,25,3.353593
56.122953,37,3.371947
11.129193,25,3.382987
21.576718,41,3.401589
11.850125,20,3.410548
18.336498,34,3.425524
16.588488,22,3.434923
76.618013,51,3.457189
4.464478,15,3.465157
21.553922,23,3.475653
3.045604,21,3.484751
38.831899,29,3.497299
9.146465,12,3.502567
16.876881,23,3.512579
134.413174,72,3.542909
125.711081,82,3.579099
29.91081,30,3.592391
149.338808,86,3.627965
7.164156,10,3.632143
7.107491,13,3.637534
12.944425,18,3.644895
25.876937,38,3.661018
18.762616,32,3.676519
19.256041,25,3.687017
11.687933,15,3.693527
11.943355,15,3.699685
8.997091,26,3.710358
7.599546,11,3.71493
21.088736,42,3.73254
70.959936,44,3.749789
11.744733,25,3.760105
13.634778,20,3.770069
10.917749,14,3.775718
14.855232,20,3.783899
9.719649,11,3.788446
9.342249,15,3.794667
16.928105,21,3.803363
9.444089,11,3.808
6.314616,9,3.811617
30.847496,26,3.822351
77.129839,52,3.843519
16.60349,17,3.850435
55.054536,36,3.864956
16.670947,30,3.878681
10.055312,21,3.887173
6.393355,10,3.891308
16.655586,31,3.90387
8.997933,11,3.90845
20.49556,38,3.923933
11.272515,14,3.929597
48.658345,66,3.954586
112.147803,66,3.981137
32.941807,31,3.993435
17.305838,33,4.006499
4.726493,9,4.010116
13.124718,16,4.016394
43.656761,37,4.030832
38.480396,29,4.042277
37.898757,40,4.058119
5.505532,12,4.800607
16.90236,18,4.810541
12.245734,14,4.817857
6.33754,9,4.822511
130.657613,80,4.86298
16.575035,22,4.874049
58.935963,38,4.894256
