#{"t_start": 1706981801.4361453, "env_id": "CustomHopper-source-v0"}
r,l,t
10.435424,18,0.035016
7.379957,15,0.055692
10.09386,14,0.076516
6.077991,11,0.090354
4.680739,12,0.10792
11.124058,20,0.135855
9.252278,16,0.1547
10.172309,16,0.172996
4.599575,8,0.182304
16.667751,19,0.204487
7.291515,10,0.216312
4.07319,14,0.237197
11.553025,14,0.253388
15.212473,18,0.277107
4.190943,12,0.291645
6.248688,9,0.302845
15.77365,20,0.334578
9.191334,15,0.355222
3.136138,9,0.365558
11.892482,16,0.387319
2.66165,18,0.414322
4.685565,9,0.425617
16.892136,19,0.455137
7.97571,10,0.466966
12.682898,21,0.494907
62.658389,39,0.54742
12.862604,32,0.586821
29.833401,24,0.62621
5.723372,8,0.636129
3.762304,10,0.654211
49.837745,34,0.696732
13.754778,16,0.72327
7.698504,15,0.745706
12.221983,12,0.769186
6.877525,12,0.783421
13.825889,17,0.810177
79.365156,47,0.887084
4.993852,17,0.915548
6.292522,10,0.930854
7.194018,10,0.946969
13.20387,29,0.991824
7.049446,11,1.006095
14.243938,19,1.030285
15.172247,20,1.056489
15.334468,22,1.089896
14.787158,16,1.11262
17.967792,29,1.157802
56.072524,38,1.212705
7.263457,12,1.228374
14.49637,18,1.249382
7.100766,10,1.258609
38.158902,40,1.307189
7.320153,11,1.317717
13.413876,15,1.331532
7.433092,14,1.34352
7.089129,12,1.353825
17.768582,18,1.369541
7.480093,13,1.383802
5.415587,13,1.394968
15.527611,21,1.412912
9.484307,11,1.424125
9.956809,19,1.440572
9.417106,11,1.450039
14.800826,16,1.463488
16.144899,20,1.480456
15.656386,20,1.500629
4.885613,9,1.511314
7.803691,11,1.522333
73.344324,49,1.563036
5.819399,13,1.574561
16.809013,24,1.599082
17.829882,17,1.613858
16.287733,23,1.633323
7.917677,10,1.642071
10.278455,12,1.652241
9.461368,12,1.662387
12.021044,15,1.674962
16.329956,18,1.693532
15.887777,21,1.711321
3.039809,15,1.724102
37.768894,47,1.765739
9.070398,11,1.775153
7.023787,11,1.785351
8.148979,15,1.801351
8.594405,14,1.816606
5.050954,9,1.82466
31.053793,26,1.846321
16.164087,28,1.870176
10.059255,25,1.891302
16.183234,20,1.911551
6.741214,18,1.926754
5.867821,10,1.935404
6.797036,11,1.944921
2.190208,12,1.955291
5.787428,16,1.968789
7.725788,11,1.978085
19.5524,23,2.000569
24.693563,24,2.020831
14.756509,23,2.042418
9.719783,14,2.054371
8.559095,19,2.070457
14.918469,17,2.085206
