#{"t_start": 1706967475.8257306, "env_id": "CustomHopper-source-v0"}
r,l,t
11.197563,29,0.016626
11.825604,15,0.022687
5.444438,11,0.027133
6.558085,14,0.032714
7.368339,24,0.042455
10.793121,15,0.048408
6.398008,13,0.053641
2.765098,6,0.056091
17.111419,22,0.065342
7.338687,10,0.069947
3.63744,14,0.075869
11.594632,14,0.081635
15.138265,18,0.089176
3.998621,12,0.094122
5.520622,8,0.097431
9.666059,18,0.106543
15.185379,17,0.113722
4.820121,10,0.117792
11.961666,16,0.124279
3.038464,18,0.131836
5.09673,9,0.13557
17.435594,20,0.143852
6.257174,9,0.147508
12.716148,21,0.15612
63.265327,39,0.172436
13.029628,33,0.185701
37.697915,27,0.196348
6.305889,14,0.201995
53.504172,35,0.217939
9.780535,14,0.223599
8.784297,20,0.23167
9.488756,11,0.236161
11.434718,20,0.244045
29.683732,25,0.254394
27.723779,21,0.263235
10.119994,12,0.268193
9.034437,15,0.274409
5.97071,12,0.279413
6.289862,14,0.285133
22.254355,27,0.296281
24.259624,27,0.30916
16.415766,17,0.31618
16.746943,19,0.323874
12.15702,18,0.331387
18.118147,29,0.343075
9.639074,12,0.347867
19.964456,21,0.356555
4.907999,8,0.359793
8.780121,11,0.3642
8.57056,15,0.370178
13.40222,18,0.377496
36.161716,34,0.391177
6.804687,9,0.394854
9.387804,11,0.399227
13.594006,18,0.406537
8.538859,13,0.413425
17.996761,18,0.421233
7.871701,13,0.426777
5.091788,13,0.43195
15.858711,21,0.440434
9.754097,11,0.444812
10.087058,19,0.452395
9.36394,11,0.456876
28.507022,37,0.471581
18.04449,19,0.479052
4.987903,10,0.483146
8.526988,11,0.487699
58.071337,42,0.504092
6.14824,17,0.512963
17.43554,19,0.520694
6.075812,14,0.526281
10.727173,14,0.532007
15.521175,24,0.541711
13.086304,15,0.547743
10.698926,12,0.552577
11.751306,14,0.558182
4.305418,8,0.561422
15.42399,19,0.569157
13.170557,17,0.576066
3.960252,15,0.582204
28.970229,43,0.601037
6.983246,9,0.604803
5.727648,9,0.60873
5.202738,11,0.616403
7.542566,22,0.6257
5.13493,11,0.63032
30.893779,26,0.6411
15.004854,27,0.652312
13.946515,27,0.663916
15.023092,21,0.672961
10.129225,19,0.681147
3.688578,7,0.684116
6.742618,11,0.68869
2.617591,12,0.694041
6.20827,17,0.701158
6.742016,11,0.705561
15.669671,22,0.716668
24.65371,24,0.726629
15.475736,24,0.73666
7.544975,11,0.741347
6.541109,18,0.74877
19.083575,20,0.756998
9.781246,13,0.762182
13.149374,16,0.768924
6.202091,12,0.77398
14.523225,19,0.781577
8.230833,13,0.786825
28.153068,40,0.803638
5.24206,9,0.807418
5.778482,17,0.814703
47.511012,41,0.832868
23.825759,27,0.844271
6.986522,10,0.848322
8.932754,15,0.854261
14.232929,18,0.861433
28.095535,26,1.580627
64.851784,70,1.617668
23.291976,28,1.634102
37.82884,34,1.651359
30.238535,26,1.664244
43.318791,28,1.677919
17.357467,20,1.687815
12.443175,14,1.694808
94.150837,60,1.723892
9.293236,20,1.735631
64.52237,45,1.756232
18.997366,20,1.765335
11.450011,26,1.777403
15.420286,18,1.785669
21.292188,21,1.795302
6.748535,12,1.800911
23.991946,21,1.810171
5.519551,11,1.81516
53.28215,37,1.83187
7.007016,10,1.838343
12.087177,26,1.850095
130.205905,68,1.878752
129.084324,83,1.914638
151.651204,69,1.945603
40.139157,30,1.958236
16.589328,20,1.966724
40.546622,29,1.978853
12.888795,14,1.984892
54.185612,42,2.002971
11.322773,17,2.010413
8.333257,10,2.014635
13.821643,16,2.021058
32.96998,29,2.033046
48.10949,58,2.058773
9.123446,29,2.070537
24.330913,21,2.079278
14.476822,20,2.087398
18.814198,19,2.095081
18.905437,18,2.102471
10.057414,12,2.107374
90.487331,54,2.129812
4.479482,18,2.137248
28.331566,43,2.156656
