#{"t_start": 1707012298.7014668, "env_id": "CustomHopper-udr-v0"}
r,l,t
10.525839,16,0.401187
11.958925,18,0.408657
14.297196,15,0.414699
6.411523,12,0.419542
7.641187,13,0.424821
12.396524,16,0.431328
10.300968,16,0.437817
9.326671,14,0.443335
3.445095,7,0.446265
20.271144,25,0.456547
8.191575,12,0.461491
12.57389,16,0.468023
5.466967,8,0.471326
12.426491,16,0.477772
3.589201,12,0.482673
4.126359,8,0.485865
8.688107,19,0.495437
16.492389,18,0.502769
3.043951,9,0.506462
12.588905,16,0.512822
2.517782,18,0.520206
6.56008,9,0.523998
16.895181,19,0.531689
10.078333,11,0.53611
11.26564,18,0.543364
4.924636,9,0.54703
52.073333,32,0.559887
12.540554,33,0.573481
47.790726,27,0.585058
7.009434,14,0.59119
48.182873,35,0.608385
10.814574,14,0.614345
9.435894,21,0.623341
10.981497,13,0.628836
9.447475,16,0.63587
20.751608,24,0.64637
31.875174,24,0.656802
9.636583,11,0.661698
7.964988,14,0.667839
5.44439,13,0.673831
5.739716,27,0.685637
6.117672,15,0.692368
17.455916,25,0.705302
16.658511,17,0.713018
12.456114,19,0.721956
14.802318,19,0.730548
19.243359,30,0.74396
69.823072,38,0.760614
5.648808,10,0.76518
29.431519,26,0.776675
66.674852,53,0.802209
11.29598,11,0.807124
14.172883,18,0.814883
8.442657,14,0.82087
12.592075,15,0.827345
10.176222,14,0.833344
6.866498,10,0.837756
15.391944,24,0.848394
6.881487,10,0.852686
7.154724,14,0.858843
20.066587,18,0.866828
14.140936,16,0.873763
14.328222,19,0.881971
5.129652,10,0.886377
9.774637,11,0.891059
5.104193,10,0.895653
9.045364,12,0.902673
90.382989,50,0.924288
5.70472,10,0.928619
18.07621,25,0.939167
23.680509,19,0.947191
7.690648,14,0.953113
9.98115,12,0.95821
18.011579,17,0.965297
7.244355,11,0.969914
14.599521,16,0.976777
14.545542,18,0.984455
11.294164,18,0.991998
3.300253,24,1.003844
40.813497,43,1.022267
8.651656,12,1.027415
6.064779,11,1.031999
