#{"t_start": 1704937167.6187322, "env_id": "CustomHopper-udr-v0"}
r,l,t
6.396708,11,1.088933
10.308092,20,1.120509
13.544955,35,1.166065
12.844917,22,1.195686
9.342949,15,1.215951
8.679294,15,1.235234
35.12063,45,1.296232
10.940411,13,1.31473
54.434028,37,1.364624
11.09313,25,1.39758
12.675961,21,1.425175
6.83985,13,1.442365
5.026859,15,1.462229
9.543193,20,1.492072
17.854899,20,1.525893
14.985665,15,1.546587
12.942581,20,1.573878
7.10124,11,1.588539
20.018279,26,1.623031
7.84773,13,1.639663
19.538537,35,1.686256
6.212466,10,1.699832
40.299932,37,1.749798
7.646456,13,1.767573
52.544644,44,1.826436
11.953945,22,1.855056
15.871857,20,1.881416
12.493711,19,1.906809
24.121899,26,1.939843
9.128196,14,1.959432
3.194796,12,1.97483
8.639553,11,1.988429
95.777276,55,2.057588
24.002002,26,2.09364
14.092397,17,2.116141
5.919215,10,2.12942
14.272381,30,2.170237
11.394765,19,2.19765
6.233962,11,2.214961
8.313552,16,2.238201
6.783848,28,2.27457
4.892943,15,2.294016
6.575509,13,2.31069
8.460729,12,2.325826
11.512581,14,2.344475
4.473432,9,2.356803
10.818511,14,2.37515
7.662655,12,2.390679
5.2546,11,2.405338
3.822698,8,2.415965
7.545903,14,2.434048
19.92061,23,2.463884
21.093368,26,2.498465
99.25334,53,2.575596
14.880061,38,2.626236
26.891173,25,2.658404
13.797609,15,2.67787
6.827454,10,2.690866
86.350741,63,2.772694
13.184468,20,2.79794
16.212647,19,2.821722
5.519817,12,2.836818
8.691829,13,2.852813
7.914914,20,2.879174
38.834418,44,2.934011
15.07903,17,2.956987
10.036294,19,2.981601
7.726997,12,2.99682
5.278915,17,3.019048
4.743947,12,3.034516
1.488102,22,3.062987
5.665162,13,3.080689
4.627871,8,3.091478
1.391175,12,3.106912
20.478212,33,3.149645
6.651648,10,3.162024
4.402632,19,3.186349
5.053648,24,3.21826
20.699949,25,3.250645
28.693891,28,3.286843
18.321121,28,3.323634
2.581906,13,3.34099
9.140798,14,3.35996
7.546923,14,3.377988
9.274505,26,3.412143
9.002047,18,3.435771
7.580882,14,3.454246
3.274616,19,3.480053
5.414986,22,3.510449
6.802247,11,3.525268
7.88288,14,3.550131
27.069906,34,3.596383
14.422324,24,3.628732
4.044187,7,3.638045
6.309681,14,3.656896
11.173898,14,3.676077
42.132492,30,3.716714
20.733357,20,3.745937
8.320008,11,3.761866
23.224004,24,3.793881
14.031217,17,6.040943
8.230496,12,6.060644
43.402014,33,6.115624
13.323726,15,6.139437
32.224346,31,6.190065
47.432172,45,6.272104
7.615658,12,6.292413
25.57583,30,6.355114
12.210185,14,6.38269
86.160062,49,6.461926
6.958611,28,6.508192
16.369911,21,6.542508
99.811311,67,6.65572
5.800591,13,6.681559
23.8998,31,6.739045
38.889984,29,6.786757
5.545473,16,6.812663
6.292401,10,6.828471
42.274436,30,6.878182
15.202087,18,6.907152
4.262015,9,6.923419
27.754382,25,6.963766
41.221719,37,7.02495
7.971376,20,7.057528
13.648084,17,7.086213
108.792988,68,7.210432
16.529587,26,7.255048
12.017885,16,7.28135
32.200971,44,7.358243
3.017607,9,7.373852
13.655578,17,7.403464
9.519174,14,7.427908
10.023274,27,7.473719
74.392788,40,7.542052
23.164802,21,7.580775
62.559193,40,7.656003
8.151039,11,7.676439
55.104341,31,7.739415
20.95223,23,7.771233
115.480916,104,7.908719
9.019136,15,7.928806
89.753791,48,7.991976
16.992533,20,8.017757
67.897834,51,8.084918
10.338128,16,8.107513
12.267867,14,8.126213
103.589995,57,8.201476
15.281791,18,8.22705
9.484366,13,8.245089
5.643924,32,8.287729
48.542655,42,8.343744
20.552003,22,8.375059
7.952911,11,8.390424
5.624328,12,8.406485
200.413677,104,8.545702
14.633284,32,8.588323
9.676049,20,8.615438
